Id,Date,Centre_Name,Commodity_Name,Price
458,27-01-09,HYDERABAD,Wheat,1010
459,28-01-09,CHANDIGARH,Wheat,1010
460,28-01-09,DELHI,Wheat,1180
461,28-01-09,SHIMLA,Wheat,1010
462,28-01-09,SRINAGAR,Wheat,1010
463,28-01-09,JAMMU,Wheat,1010
464,28-01-09,AMRITSAR,Wheat,1000
465,28-01-09,LUDHIANA,Wheat,1100
466,28-01-09,LUCKNOW,Wheat,1010
467,28-01-09,DEHRADUN,Wheat,1010
468,28-01-09,RAIPUR,Wheat,1010
469,28-01-09,AHMEDABAD,Wheat,1010
470,28-01-09,BHOPAL,Wheat,1100
471,28-01-09,MUMBAI,Wheat,1010
472,28-01-09,JAIPUR,Wheat,1200
473,28-01-09,PATNA,Wheat,1010
474,28-01-09,RANCHI,Wheat,1010
475,28-01-09,BHUBANESHWAR,Wheat,1220
476,28-01-09,KOLKATA,Wheat,1010
477,28-01-09,GUWAHATI,Wheat,1010
478,28-01-09,SHILLONG,Wheat,1010
479,28-01-09,AIZWAL,Wheat,1010
480,28-01-09,KOHIMA,Wheat,1010
481,28-01-09,AGARTALA,Wheat,1010
482,28-01-09,BENGALURU,Wheat,1700
483,28-01-09,T.PURAM,Wheat,1010
484,28-01-09,CHENNAI,Wheat,1010
485,28-01-09,HYDERABAD,Wheat,1010
486,29-01-09,CHANDIGARH,Wheat,1010
487,29-01-09,DELHI,Wheat,1180
488,29-01-09,SHIMLA,Wheat,1010
489,29-01-09,SRINAGAR,Wheat,1010
490,29-01-09,JAMMU,Wheat,1010
491,29-01-09,AMRITSAR,Wheat,1000
492,29-01-09,LUDHIANA,Wheat,1100
493,29-01-09,LUCKNOW,Wheat,1010
494,29-01-09,DEHRADUN,Wheat,1010
495,29-01-09,RAIPUR,Wheat,1010
496,29-01-09,AHMEDABAD,Wheat,1010
497,29-01-09,BHOPAL,Wheat,1010
498,29-01-09,MUMBAI,Wheat,1010
499,29-01-09,JAIPUR,Wheat,1010
500,29-01-09,PATNA,Wheat,1010
501,29-01-09,RANCHI,Wheat,1010
502,29-01-09,BHUBANESHWAR,Wheat,1010
503,29-01-09,KOLKATA,Wheat,1010
504,29-01-09,GUWAHATI,Wheat,1010
505,29-01-09,SHILLONG,Wheat,1010
506,29-01-09,AIZWAL,Wheat,1010
507,29-01-09,KOHIMA,Wheat,1010
508,29-01-09,AGARTALA,Wheat,1010
509,29-01-09,BENGALURU,Wheat,1600
510,29-01-09,T.PURAM,Wheat,1010
511,29-01-09,CHENNAI,Wheat,1540
512,29-01-09,HYDERABAD,Wheat,1010
513,30-01-09,CHANDIGARH,Wheat,1010
514,30-01-09,DELHI,Wheat,1180
515,30-01-09,SHIMLA,Wheat,1010
516,30-01-09,SRINAGAR,Wheat,1010
517,30-01-09,JAMMU,Wheat,1010
518,30-01-09,AMRITSAR,Wheat,1010
519,30-01-09,LUDHIANA,Wheat,1010
520,30-01-09,LUCKNOW,Wheat,1010
521,30-01-09,DEHRADUN,Wheat,1010
522,30-01-09,RAIPUR,Wheat,1010
523,30-01-09,AHMEDABAD,Wheat,1010
524,30-01-09,BHOPAL,Wheat,1100
525,30-01-09,MUMBAI,Wheat,1010
526,30-01-09,JAIPUR,Wheat,1010
527,30-01-09,PATNA,Wheat,1010
528,30-01-09,RANCHI,Wheat,1010
529,30-01-09,BHUBANESHWAR,Wheat,1010
530,30-01-09,KOLKATA,Wheat,1010
531,30-01-09,GUWAHATI,Wheat,1010
532,30-01-09,SHILLONG,Wheat,1010
533,30-01-09,AIZWAL,Wheat,1010
534,30-01-09,KOHIMA,Wheat,1010
535,30-01-09,AGARTALA,Wheat,1010
536,30-01-09,BENGALURU,Wheat,1600
537,30-01-09,T.PURAM,Wheat,1010
538,30-01-09,CHENNAI,Wheat,1010
539,30-01-09,HYDERABAD,Wheat,1010
540,02-02-09,CHANDIGARH,Wheat,1010
541,02-02-09,DELHI,Wheat,1180
542,02-02-09,SHIMLA,Wheat,1010
543,02-02-09,SRINAGAR,Wheat,1010
544,02-02-09,JAMMU,Wheat,1010
545,02-02-09,AMRITSAR,Wheat,1000
546,02-02-09,LUDHIANA,Wheat,1100
547,02-02-09,LUCKNOW,Wheat,1120
548,02-02-09,DEHRADUN,Wheat,1010
549,02-02-09,RAIPUR,Wheat,1010
550,02-02-09,AHMEDABAD,Wheat,1010
551,02-02-09,BHOPAL,Wheat,1100
552,02-02-09,MUMBAI,Wheat,1010
553,02-02-09,JAIPUR,Wheat,1200
554,02-02-09,PATNA,Wheat,1010
555,02-02-09,RANCHI,Wheat,1010
556,02-02-09,BHUBANESHWAR,Wheat,1220
557,02-02-09,KOLKATA,Wheat,1010
558,02-02-09,GUWAHATI,Wheat,1010
559,02-02-09,SHILLONG,Wheat,1010
560,02-02-09,AIZWAL,Wheat,1010
561,02-02-09,KOHIMA,Wheat,1010
562,02-02-09,AGARTALA,Wheat,1010
563,02-02-09,BENGALURU,Wheat,1600
564,02-02-09,T.PURAM,Wheat,1010
565,02-02-09,CHENNAI,Wheat,1010
566,02-02-09,HYDERABAD,Wheat,1010
567,03-02-09,CHANDIGARH,Wheat,1010
568,03-02-09,DELHI,Wheat,1185
569,03-02-09,SHIMLA,Wheat,1010
570,03-02-09,SRINAGAR,Wheat,1010
571,03-02-09,JAMMU,Wheat,1010
572,03-02-09,AMRITSAR,Wheat,1000
573,03-02-09,LUDHIANA,Wheat,1100
574,03-02-09,LUCKNOW,Wheat,1120
575,03-02-09,DEHRADUN,Wheat,1010
576,03-02-09,RAIPUR,Wheat,1010
577,03-02-09,AHMEDABAD,Wheat,1010
578,03-02-09,BHOPAL,Wheat,1010
579,03-02-09,MUMBAI,Wheat,1010
580,03-02-09,JAIPUR,Wheat,1200
581,03-02-09,PATNA,Wheat,1010
582,03-02-09,RANCHI,Wheat,1010
583,03-02-09,BHUBANESHWAR,Wheat,1220
584,03-02-09,KOLKATA,Wheat,1010
585,03-02-09,GUWAHATI,Wheat,1010
586,03-02-09,SHILLONG,Wheat,1010
587,03-02-09,AIZWAL,Wheat,1010
588,03-02-09,KOHIMA,Wheat,1010
589,03-02-09,AGARTALA,Wheat,1010
590,03-02-09,BENGALURU,Wheat,1600
591,03-02-09,T.PURAM,Wheat,1010
592,03-02-09,CHENNAI,Wheat,1010
593,03-02-09,HYDERABAD,Wheat,1010
594,04-02-09,CHANDIGARH,Wheat,1010
595,04-02-09,DELHI,Wheat,1185
